sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Figure of merit Z
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,500,,0.02561,39.047,3.3e-8,0.011192,0.68674,0,0.000026009,3.2928,0.046809,,0
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,550,,0.032192,31.064,3.5e-8,0.010439,0.63097,0,0.000036122,2.9888,0.081722,,0
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,600,,0.041321,24.201,3.71e-8,0.0096861,0.55758,1e-10,0.000049481,2.6955,0.13921,,0
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,650,,0.053325,18.753,3.91e-8,0.0089331,0.49113,2e-10,0.00006578,2.4032,0.22676,,1e-10
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,700,,0.069256,14.439,4.11e-8,0.0081801,0.45629,5e-10,0.000084721,2.1006,0.35264,,2e-10
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,750,,0.091508,10.928,4.32e-8,0.0074271,0.46153,1e-9,0.00010627,1.7806,0.52593,,6e-10
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,800,,0.12442,8.0373,,0.0066742,0.48283,2.1e-9,0.00013096,1.4467,0.75661,,1.5e-9
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,850,,,,,,0.44739,,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,9.65e+25,,,,0.010934,,,0.000083855,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,9.7e+25,,,,0.010856,,,0.000083788,,,,
