sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Electronic thermal conductivity,Hall concentration,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,hall density,Figure of merit Z
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20836,x=0.02_y=0,Na0.02Ag1.98SbTe2,600,,14605,0.00006847,,,,,0.0010783,0.00027172,0.68308,0.96297,,0.0015785852
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20836,x=0.02_y=0,Na0.02Ag1.98SbTe2,650,,15059,0.000066405,,,,,0.0011045,0.00027082,0.69797,1.0443,,0.0015824462
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20837,x=0.01_y=0.02,Na0.01Ag0.99SbTe2.02 ,350,,20066,0.000049836,,,,,0.0011733,0.00024181,0.55122,0.74932,,0.0021285512
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20837,x=0.01_y=0.02,Na0.01Ag0.99SbTe2.02 ,400,,20705,0.000048298,,,,,0.0012066,0.0002414,0.55204,0.88882,,0.0021857112
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20837,x=0.01_y=0.02,Na0.01Ag0.99SbTe2.02 ,450,,21344,0.000046852,,,,,0.0012397,0.000241,0.55286,1.0283,,0.0022423398
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20837,x=0.01_y=0.02,Na0.01Ag0.99SbTe2.02 ,500,,21984,0.000045488,,,,,0.0012725,0.00024059,0.55368,1.1678,,0.0022982589
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20837,x=0.01_y=0.02,Na0.01Ag0.99SbTe2.02 ,550,,22623,0.000044203,,,,,0.0013051,0.00024019,0.5545,1.3073,,0.0023536519
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20837,x=0.01_y=0.02,Na0.01Ag0.99SbTe2.02 ,600,,23262,0.000042989,,,,,0.0013374,0.00023978,0.55532,1.4468,,0.0024083411
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20837,x=0.01_y=0.02,Na0.01Ag0.99SbTe2.02 ,650,,23901,0.000041839,,,,,0.0013696,0.00023938,0.55614,1.5863,,0.0024626893
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20838,x=0.02_y=0.02,Na0.02Ag0.98SbTe2.02,350,,22745,0.000043966,,,,,0.0012657,0.0002359,0.58394,0.77112,,0.0021675172
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20838,x=0.02_y=0.02,Na0.02Ag0.98SbTe2.02,400,,22996,0.000043486,,,,,0.001285,0.00023639,0.59449,0.87532,,0.0021615166
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20838,x=0.02_y=0.02,Na0.02Ag0.98SbTe2.02,450,,23246,0.000043018,,,,,0.0013044,0.00023688,0.60503,0.97953,,0.0021559262
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20838,x=0.02_y=0.02,Na0.02Ag0.98SbTe2.02,500,,23497,0.000042559,,,,,0.0013239,0.00023737,0.61557,1.0837,,0.0021506896
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20838,x=0.02_y=0.02,Na0.02Ag0.98SbTe2.02,550,,23747,0.000042111,,,,,0.0013435,0.00023786,0.62611,1.1879,,0.0021457891
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20838,x=0.02_y=0.02,Na0.02Ag0.98SbTe2.02,600,,23998,0.00004167,,,,,0.0013632,0.00023834,0.63666,1.2921,,0.0021411743
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20838,x=0.02_y=0.02,Na0.02Ag0.98SbTe2.02,650,,24248,0.000041241,,,,,0.0013831,0.00023883,0.6472,1.3964,,0.0021370519
