sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,650,,203640,0.00014894,4.4706,0.62651,,0.0000049106,0.0045173713,0.001010462
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,700,,189930,0.00015654,4.3808,0.70058,,0.0000052651,0.0046541913,0.0010624067
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,750,,176220,0.00016414,4.2911,0.77465,,0.0000056747,0.0047477086,0.0011064083
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,800,,162510,0.00017174,4.2013,0.84873,,0.0000061535,0.0047931719,0.0011408783
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,850,,148800,0.00017934,4.1116,0.9228,,0.0000067204,0.0047858299,0.0011639824
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,900,,135090,0.00018694,4.0218,0.99688,,0.0000074025,0.0047209313,0.0011738354
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,950,,121380,0.00019454,3.9321,1.071,,0.0000082386,0.0045937246,0.0011682624
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,1000,,107670,0.00020214,3.8423,1.145,,0.0000092876,0.0043994586,0.0011450065
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,1050,,93958,0.00020974,3.7525,1.2191,,0.0000106431,0.0041332939,0.0011014774
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,1100,,80247,0.00021734,3.6628,1.2932,,0.0000124615,0.0037906015,0.0010348918
27925,10.1002/advs.201600035,25416,3c,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,300,,,0.000095729,5.0989,0.10799,,,,
27925,10.1002/advs.201600035,25417,4a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,1150,,,,3.573,1.3672,,,,
27925,10.1002/advs.201600035,26678,3b,33458,Fe 1+x Nb 0.75 Ti 0.25 Sb_ 300k,undefined,,0.0013223,,,,,0.005,,,
27925,10.1002/advs.201600035,26678,3b,33458,Fe 1+x Nb 0.75 Ti 0.25 Sb_ 300k,undefined,,0.0013016,,,,,0.01,,,
