sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,359,0.00003782,0.60062,0.0018626,0.00026374,0.75324,0.89271,26441.0364886304,0.0024727842
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,359.5,0.000037772,0.60051,0.0018634,0.00026361,0.75382,0.89361,26474.637297469,0.0024719429
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,360,0.000037725,0.6004,0.0018643,0.00026348,0.75439,0.89451,26507.6209410205,0.0024712682
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,360.5,0.000037678,0.6003,0.0018651,0.00026334,0.75496,0.89541,26540.6868729763,0.002470462
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,361,0.00003763,0.60019,0.001866,0.00026321,0.75553,0.89631,26574.5415891576,0.0024697894
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,361.5,0.000037583,0.60008,0.0018668,0.00026308,0.75611,0.89721,26607.7747917942,0.0024689529
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,362,0.000037536,0.59997,0.0018677,0.00026295,0.75668,0.89811,26641.0912190963,0.0024682825
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,362.5,0.000037489,0.59987,0.0018685,0.00026282,0.75725,0.89901,26674.4911840807,0.002467481
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,363,0.000037441,0.59976,0.0018694,0.00026268,0.75782,0.89991,26708.6883363158,0.0024668127
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,363.5,0.000037394,0.59965,0.0018702,0.00026255,0.75839,0.90081,26742.2581162753,0.0024660135
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,364,0.000037347,0.59954,0.0018711,0.00026242,0.75897,0.90171,26775.9123892147,0.0024653148
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,364.5,0.000037299,0.59943,0.0018719,0.00026229,0.75954,0.90261,26810.3702512132,0.002464518
