sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,372.5,0.025929,0.0000070533,0.000081592,2.3059,0.22199,141777.6076446486,0.0009438496,0.0004093194
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,373,0.025905,0.0000070647,0.000081737,2.3018,0.22299,141548.8272679661,0.0009456788,0.0004108432
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,373.5,0.025881,0.0000070763,0.000081882,2.2976,0.22399,141316.7898478018,0.0009474813,0.0004123787
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,374,0.025857,0.0000070878,0.000082028,2.2935,0.22498,141087.5024690313,0.0009493204,0.0004139177
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,374.5,0.025833,0.0000070994,0.000082175,2.2894,0.22598,140856.9738287743,0.0009511692,0.0004154666
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,375,0.025808,0.0000071111,0.000082322,2.2854,0.22697,140625.2197269058,0.0009530047,0.0004169969
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,375.5,0.025784,0.0000071228,0.000082471,2.2813,0.22797,140394.2269893862,0.0009548865,0.0004185712
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,376,0.02576,0.0000071345,0.00008262,2.2773,0.22897,140163.9918704885,0.0009567684,0.0004201328
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,376.5,0.025736,0.0000071463,0.000082769,2.2732,0.22996,139932.5525096903,0.000958637,0.0004217125
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,377,0.025712,0.0000071581,0.000082919,2.2692,0.23096,139701.8761961973,0.0009605287,0.0004232896
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,377.5,0.025688,0.00000717,0.00008307,2.2652,0.23196,139470.0139470014,0.0009624303,0.0004248765
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,378,0.025663,0.000007182,0.000083222,2.2612,0.23295,139236.9813422445,0.0009643416,0.0004264734
